ID,NAME,LAT,LONG,ELEVATION
1,p55-769,5.464,-76.875,152.000
3,p58-769,5.776,-76.875,103.000
5,p61-769,6.088,-76.875,90.000
7,p64-769,6.401,-76.875,40.000
9,p67-769,6.713,-76.875,48.000
11,p70-769,7.025,-76.875,12.000
13,p73-769,7.337,-76.875,32.000
15,p76-769,7.650,-76.875,67.000
17,p80-769,7.962,-76.875,-9999.000
19,p83-769,8.274,-76.875,-9999.000
21,p86-769,8.586,-76.875,24.000
23,p55-766,5.464,-76.563,120.000
25,p58-766,5.776,-76.563,106.000
27,p61-766,6.088,-76.563,152.000
29,p64-766,6.401,-76.563,1713.000
31,p67-766,6.713,-76.563,906.000
33,p70-766,7.025,-76.563,591.000
35,p73-766,7.337,-76.563,145.000
37,p76-766,7.650,-76.563,256.000
39,p80-766,7.962,-76.563,327.000
41,p83-766,8.274,-76.563,185.000
43,p86-766,8.586,-76.563,149.000
45,p55-763,5.464,-76.250,267.000
47,p58-763,5.776,-76.250,1630.000
49,p61-763,6.088,-76.250,2715.000
51,p64-763,6.401,-76.250,1499.000
53,p67-763,6.713,-76.250,2212.000
55,p70-763,7.025,-76.250,1305.000
57,p73-763,7.337,-76.250,1495.000
59,p76-763,7.650,-76.250,149.000
61,p80-763,7.962,-76.250,138.000
63,p83-763,8.274,-76.250,124.000
65,p86-763,8.586,-76.250,72.000
67,p55-759,5.464,-75.938,2568.000
69,p58-759,5.776,-75.938,1271.000
71,p61-759,6.088,-75.938,1422.000
73,p64-759,6.401,-75.938,1809.000
75,p67-759,6.713,-75.938,2118.000
77,p70-759,7.025,-75.938,1673.000
79,p73-759,7.337,-75.938,1203.000
81,p76-759,7.650,-75.938,297.000
83,p80-759,7.962,-75.938,619.000
85,p83-759,8.274,-75.938,102.000
87,p86-759,8.586,-75.938,45.000
89,p55-756,5.464,-75.625,1771.000
91,p58-756,5.776,-75.625,659.000
93,p61-756,6.088,-75.625,1960.000
95,p64-756,6.401,-75.625,2520.000
97,p67-756,6.713,-75.625,2570.000
99,p70-756,7.025,-75.625,1582.000
101,p73-756,7.337,-75.625,1886.000
103,p76-756,7.650,-75.625,457.000
105,p80-756,7.962,-75.625,95.000
107,p83-756,8.274,-75.625,131.000
109,p86-756,8.586,-75.625,185.000
111,p55-753,5.464,-75.313,2685.000
113,p58-753,5.776,-75.313,2090.000
115,p61-753,6.088,-75.313,2177.000
117,p64-753,6.401,-75.313,2076.000
119,p67-753,6.713,-75.313,2001.000
121,p70-753,7.025,-75.313,1582.000
123,p73-753,7.337,-75.313,593.000
125,p76-753,7.650,-75.313,130.000
127,p80-753,7.962,-75.313,89.000
129,p83-753,8.274,-75.313,61.000
131,p86-753,8.586,-75.313,75.000
133,p55-750,5.464,-75.000,943.000
135,p58-750,5.776,-75.000,884.000
137,p61-750,6.088,-75.000,1273.000
139,p64-750,6.401,-75.000,1203.000
141,p67-750,6.713,-75.000,1433.000
143,p70-750,7.025,-75.000,1183.000
145,p73-750,7.337,-75.000,297.000
147,p76-750,7.650,-75.000,153.000
149,p80-750,7.962,-75.000,80.000
151,p83-750,8.274,-75.000,31.000
153,p86-750,8.586,-75.000,22.000
155,p55-747,5.464,-74.688,164.000
157,p58-747,5.776,-74.688,158.000
159,p61-747,6.088,-74.688,274.000
161,p64-747,6.401,-74.688,592.000
163,p67-747,6.713,-74.688,712.000
165,p70-747,7.025,-74.688,636.000
167,p73-747,7.337,-74.688,236.000
169,p76-747,7.650,-74.688,239.000
171,p80-747,7.962,-74.688,102.000
173,p83-747,8.274,-74.688,30.000
175,p86-747,8.586,-74.688,22.000
177,p55-744,5.464,-74.375,1147.000
179,p58-744,5.776,-74.375,457.000
181,p61-744,6.088,-74.375,138.000
183,p64-744,6.401,-74.375,77.000
185,p67-744,6.713,-74.375,140.000
187,p70-744,7.025,-74.375,318.000
189,p73-744,7.337,-74.375,570.000
191,p76-744,7.650,-74.375,1645.000
193,p80-744,7.962,-74.375,636.000
195,p83-744,8.274,-74.375,807.000
197,p86-744,8.586,-74.375,37.000
199,p55-741,5.464,-74.063,1409.000
201,p58-741,5.776,-74.063,1091.000
203,p61-741,6.088,-74.063,687.000
205,p64-741,6.401,-74.063,113.000
207,p67-741,6.713,-74.063,57.000
209,p70-741,7.025,-74.063,141.000
211,p73-741,7.337,-74.063,340.000
213,p76-741,7.650,-74.063,278.000
215,p80-741,7.962,-74.063,613.000
217,p83-741,8.274,-74.063,523.000
219,p86-741,8.586,-74.063,101.000
