ID,NAME,LAT,LONG,ELEVATION
1,r55-769,5.464,-76.875,152.000
3,r58-769,5.776,-76.875,103.000
5,r61-769,6.088,-76.875,90.000
7,r64-769,6.401,-76.875,40.000
9,r67-769,6.713,-76.875,48.000
11,r70-769,7.025,-76.875,12.000
13,r73-769,7.337,-76.875,32.000
15,r76-769,7.650,-76.875,67.000
17,r80-769,7.962,-76.875,-9999.000
19,r83-769,8.274,-76.875,-9999.000
21,r86-769,8.586,-76.875,24.000
23,r55-766,5.464,-76.563,120.000
25,r58-766,5.776,-76.563,106.000
27,r61-766,6.088,-76.563,152.000
29,r64-766,6.401,-76.563,1713.000
31,r67-766,6.713,-76.563,906.000
33,r70-766,7.025,-76.563,591.000
35,r73-766,7.337,-76.563,145.000
37,r76-766,7.650,-76.563,256.000
39,r80-766,7.962,-76.563,327.000
41,r83-766,8.274,-76.563,185.000
43,r86-766,8.586,-76.563,149.000
45,r55-763,5.464,-76.250,267.000
47,r58-763,5.776,-76.250,1630.000
49,r61-763,6.088,-76.250,2715.000
51,r64-763,6.401,-76.250,1499.000
53,r67-763,6.713,-76.250,2212.000
55,r70-763,7.025,-76.250,1305.000
57,r73-763,7.337,-76.250,1495.000
59,r76-763,7.650,-76.250,149.000
61,r80-763,7.962,-76.250,138.000
63,r83-763,8.274,-76.250,124.000
65,r86-763,8.586,-76.250,72.000
67,r55-759,5.464,-75.938,2568.000
69,r58-759,5.776,-75.938,1271.000
71,r61-759,6.088,-75.938,1422.000
73,r64-759,6.401,-75.938,1809.000
75,r67-759,6.713,-75.938,2118.000
77,r70-759,7.025,-75.938,1673.000
79,r73-759,7.337,-75.938,1203.000
81,r76-759,7.650,-75.938,297.000
83,r80-759,7.962,-75.938,619.000
85,r83-759,8.274,-75.938,102.000
87,r86-759,8.586,-75.938,45.000
89,r55-756,5.464,-75.625,1771.000
91,r58-756,5.776,-75.625,659.000
93,r61-756,6.088,-75.625,1960.000
95,r64-756,6.401,-75.625,2520.000
97,r67-756,6.713,-75.625,2570.000
99,r70-756,7.025,-75.625,1582.000
101,r73-756,7.337,-75.625,1886.000
103,r76-756,7.650,-75.625,457.000
105,r80-756,7.962,-75.625,95.000
107,r83-756,8.274,-75.625,131.000
109,r86-756,8.586,-75.625,185.000
111,r55-753,5.464,-75.313,2685.000
113,r58-753,5.776,-75.313,2090.000
115,r61-753,6.088,-75.313,2177.000
117,r64-753,6.401,-75.313,2076.000
119,r67-753,6.713,-75.313,2001.000
121,r70-753,7.025,-75.313,1582.000
123,r73-753,7.337,-75.313,593.000
125,r76-753,7.650,-75.313,130.000
127,r80-753,7.962,-75.313,89.000
129,r83-753,8.274,-75.313,61.000
131,r86-753,8.586,-75.313,75.000
133,r55-750,5.464,-75.000,943.000
135,r58-750,5.776,-75.000,884.000
137,r61-750,6.088,-75.000,1273.000
139,r64-750,6.401,-75.000,1203.000
141,r67-750,6.713,-75.000,1433.000
143,r70-750,7.025,-75.000,1183.000
145,r73-750,7.337,-75.000,297.000
147,r76-750,7.650,-75.000,153.000
149,r80-750,7.962,-75.000,80.000
151,r83-750,8.274,-75.000,31.000
153,r86-750,8.586,-75.000,22.000
155,r55-747,5.464,-74.688,164.000
157,r58-747,5.776,-74.688,158.000
159,r61-747,6.088,-74.688,274.000
161,r64-747,6.401,-74.688,592.000
163,r67-747,6.713,-74.688,712.000
165,r70-747,7.025,-74.688,636.000
167,r73-747,7.337,-74.688,236.000
169,r76-747,7.650,-74.688,239.000
171,r80-747,7.962,-74.688,102.000
173,r83-747,8.274,-74.688,30.000
175,r86-747,8.586,-74.688,22.000
177,r55-744,5.464,-74.375,1147.000
179,r58-744,5.776,-74.375,457.000
181,r61-744,6.088,-74.375,138.000
183,r64-744,6.401,-74.375,77.000
185,r67-744,6.713,-74.375,140.000
187,r70-744,7.025,-74.375,318.000
189,r73-744,7.337,-74.375,570.000
191,r76-744,7.650,-74.375,1645.000
193,r80-744,7.962,-74.375,636.000
195,r83-744,8.274,-74.375,807.000
197,r86-744,8.586,-74.375,37.000
199,r55-741,5.464,-74.063,1409.000
201,r58-741,5.776,-74.063,1091.000
203,r61-741,6.088,-74.063,687.000
205,r64-741,6.401,-74.063,113.000
207,r67-741,6.713,-74.063,57.000
209,r70-741,7.025,-74.063,141.000
211,r73-741,7.337,-74.063,340.000
213,r76-741,7.650,-74.063,278.000
215,r80-741,7.962,-74.063,613.000
217,r83-741,8.274,-74.063,523.000
219,r86-741,8.586,-74.063,101.000
